seller_id,type,mape_val,mape_test,status
k_6c177e38_1,decline,8.83730990730125,22.596121844194165,ok
k_c9c7905c_0,growth,11.126472848432085,14.94221815860859,ok
k_1900267e_0,growth,6.487991824563648,13.890282351244698,ok
k_cfb1a033_0,growth,33.56070378482265,23.345232356850428,ok
k_7d456afc_1,growth,18.298556025947942,6.380567353590977,ok
k_f7ba60f8_1,growth,38.20726665722851,45.204114299344106,ok
k_7178f9f4_0,growth,23.770087475630415,23.16446007466889,ok
k_f0b47fbb_1,growth,43.17771909574475,44.01055991910745,ok
k_2a5b78b4_0,growth,16.277037752768187,42.2569600165634,ok
k_4371b634_0,growth,11.568872153174265,14.355352115671302,ok
k_f41ce2e2_0,growth,41.42052936842138,25.889591801606798,ok
k_8b2492b7_1,growth,45.467418592267435,32.77200989943419,ok
k_1025f0e2_0,growth,7.624978231529862,8.187827691685504,ok
k_77530e97_0,growth,33.60384853947942,20.55491753900308,ok
k_82e0a475_0,growth,15.685571224399741,22.05731314260514,ok
k_3c487ae8_0,growth,8.332692432188031,9.106093525650708,ok
k_de23c3b9_0,growth,30.028837712229322,29.698238359767988,ok
k_1554a685_1,growth,15.736394800524165,9.09428883601685,ok
k_e067ad2c_1,growth,10.364223744035678,23.606135264809065,ok
k_fe2032da_1,growth,23.134379300910503,15.579982465805417,ok
k_822166ed_1,growth,27.407911730587102,13.795647664897281,ok
k_06e5eefc_0,growth,56.62526885387842,105.0902218087858,ok
k_cc419e06_0,growth,17.10041226439855,13.093340766374087,ok
k_8648b1e8_1,growth,53.4904409369174,36.11696280307717,ok
k_cb3dd9ce_1,growth,10.90058088690576,39.11961868257598,ok
k_85d9eb9d_1,growth,3.7930113818242517,18.742896989691747,ok
k_8f2ce03f_0,growth,32.858007475885586,46.92567357538136,ok
k_6d66611d_0,growth,18.277161610835858,18.551362058034996,ok
k_6fc26fe1_0,growth,22.918681826170104,46.515999408118375,ok
k_f3b80352_0,growth,18.88152911066697,8.640085761338216,ok
k_c3cfdc64_0,growth,17.331617344989294,6.90948601038018,ok
k_f80edd2c_1,growth,50.11252652372422,31.352233337544007,ok
k_725c32fa_1,growth,16.08199653165175,16.525440303385373,ok
k_17a053fc_0,growth,31.206700771493256,15.058553944254477,ok
k_888faa8b_1,growth,38.58818988011252,16.931896039282325,ok
k_9596c870_0,growth,45.04554895525473,49.64009656797812,ok
k_1c68394e_0,growth,38.504636666996376,75.3726996812008,ok
k_06e5eefc_1,growth,14.8489476041641,66.31177250289257,ok
k_6bb0724e_0,growth,54.56994454634471,14.963564889471051,ok
k_6b243f80_0,growth,53.330502499021236,36.942508955826774,ok
k_59fb871b_1,growth,10.190655302242295,12.164380108592443,ok
k_013900e8_0,growth,29.559710933460735,50.133341169053345,ok
k_b39d7fe2_1,growth,15.896646494505578,11.523379943936341,ok
k_8f2ce03f_1,growth,18.517114842440776,21.914889369690105,ok
k_835f0f78_0,growth,20.331540887886344,20.309776103687405,ok
k_8cbac7e1_0,growth,18.164937725195674,27.65226691620927,ok
k_530ec610_0,growth,27.510800172137195,16.28483778357869,ok
k_11bfa663_1,growth,23.697877754026187,26.71567531394296,ok
k_f8d5c708_0,growth,15.564408656515447,56.454202926009536,ok
k_ccf8813e_0,growth,45.48731572509766,13.365098624579016,ok
k_c68fb906_1,growth,17.89721069797168,27.297679384363256,ok
k_bb135bac_0,other,21.68862677809825,22.668183105136585,ok
k_670a9dda_1,other,,102.62934878496989,ok
k_eba88037_1,other,55.58896466456162,69.17173717909981,ok
k_f5f2ab9b_0,other,35.96958480441152,78.49975296708764,ok
k_5ab05b6d_1,other,81.47701285932912,103.08991546460047,ok
k_70f84699_0,other,33.456546585708466,6.952518450350853,ok
k_ab3e0c17_0,other,96.46581520241243,106.92259956602122,ok
k_a3082f44_0,other,53.528474506586306,,ok
k_a2e87407_1,other,70.65634041137795,18.8619976397057,ok
k_b080809e_0,other,54.037297092592816,61.64753830891715,ok
k_edd066cd_1,other,23.66432925268206,345.13932996248604,ok
k_e6a69c4a_0,other,127.37363282636774,125.8064607217547,ok
k_e81e1f9c_0,other,35.61160982294959,70.56894363747439,ok
k_6bd69102_0,other,40.92250374243605,17.01819423889434,ok
k_b499c00f_0,other,69.81771438710919,72.56942277403652,ok
