#{"t_start": 1779091296.1680708, "env_id": "None"}
r,l,t
-22.447866,18,4.420795
-4.610363,10,4.421863
-19.262777,16,4.423493
-23.434855,21,4.425617
-13.136925,15,4.427125
-20.27071,22,4.429403
-20.309804,22,4.431643
-25.372803,19,4.433564
-16.584172,15,4.435104
-20.811631,18,4.436912
-14.138439,17,4.438626
-19.106618,24,4.441012
-26.929142,21,4.4432
-28.903633,24,4.445728
-21.044557,18,4.447629
-16.428163,20,4.44972
-17.052078,18,4.451613
-25.155466,20,4.453723
-25.630054,20,4.455825
-16.794859,18,4.457717
-31.114373,24,4.46019
-16.525266,15,4.461789
-25.157095,20,4.463876
-27.994099,22,4.466178
-14.165074,16,4.467894
-19.664012,18,4.469791
-21.695693,24,4.472257
-23.013964,18,4.474122
-25.541114,20,4.476187
-17.786302,24,4.478675
-25.019781,20,4.480782
-5.406047,20,4.482887
-20.987553,21,4.485077
-29.858879,24,4.487568
-17.208625,17,4.489349
-10.603987,15,4.490945
-14.788578,18,4.492829
-17.177574,15,4.494415
-23.47216,18,4.496294
-29.358563,24,4.498763
-18.650358,24,4.501224
-4.627201,10,4.502312
-25.95216,20,4.504384
-15.769687,17,4.506149
-10.386996,18,4.508017
-11.322391,24,4.51047
-21.680646,17,4.51226
-20.286196,18,4.514141
-15.62322,19,4.516101
-22.315505,19,4.518065
-25.737698,22,4.520314
-23.809853,21,4.522463
-28.298465,22,4.524722
-22.012983,17,4.526497
-13.391347,14,4.527974
-15.905996,19,4.529941
-17.626858,15,4.531528
-23.398433,18,4.533403
-19.47316,17,4.535172
-12.776379,24,4.537629
-20.687982,16,4.53931
-23.499143,22,4.541563
-16.375311,16,4.543246
-29.149476,24,4.76577
-20.587735,17,4.767575
-24.732723,21,4.769717
-17.628736,19,4.771634
-15.134355,22,4.773836
-14.974454,22,4.77617
-23.194243,21,4.778357
-23.39221,18,4.780189
-26.695892,21,4.782268
-12.323111,11,4.783415
-20.848465,19,4.785291
-17.885195,14,4.786727
-30.518849,24,4.789074
-21.42209,19,4.79103
-27.141357,20,4.793069
-15.564079,16,4.794707
-26.798974,21,4.796809
-22.143025,18,4.798624
-30.845754,24,4.801018
-18.919859,16,4.802655
-17.139066,18,4.804478
-29.687644,24,4.806828
-23.378889,20,4.808796
-22.18219,23,4.811056
-26.84437,24,4.81339
-9.812651,19,4.815262
-27.291194,21,4.817434
-21.980799,18,4.819282
-21.662424,17,4.821024
-27.614042,22,4.823222
-19.457007,24,4.825594
-15.282111,18,4.827414
-21.588147,17,4.829167
-19.743104,18,4.830978
-16.388307,20,4.832945
-20.133827,24,4.835274
-22.576062,23,4.837512
-15.843372,14,4.838899
-14.875325,16,4.840486
-11.506057,11,4.841621
-25.803113,20,4.843656
-15.972505,14,4.845092
-23.528518,19,4.847021
-17.325046,19,4.848921
-19.583902,22,4.851129
-9.814683,10,4.852167
-18.279167,18,4.853998
-23.574415,19,4.855923
-15.788644,18,4.857729
-6.711151,17,4.859442
-15.772189,21,4.861513
-5.464209,12,4.862728
-21.493877,17,4.864409
-25.025672,22,4.866545
-16.699296,18,4.868317
-18.259118,15,4.869848
-12.771365,24,4.872255
-30.139653,24,4.874626
-14.635507,14,4.876033
-22.079147,17,4.87775
-21.906339,24,4.880136
-12.123686,15,4.88164
-20.523895,16,4.883431
-20.089453,18,4.885349
-30.445984,24,4.887816
-8.83458,17,4.889596
-14.687248,17,4.891367
-18.044525,16,4.893022
-24.663151,19,4.894958
-21.891755,20,4.897004
