#{"t_start": 1780031485.44627, "env_id": "None"}
r,l,t
-14.135294,12,51.81761
-11.095515,24,51.895165
-9.506945,13,51.938019
-5.915019,24,52.015684
-0.856878,5,52.032403
-5.573153,24,52.111103
-7.554281,10,52.143786
-13.963196,13,52.186352
-14.040896,12,52.225124
-5.936213,9,52.253967
-7.750055,12,52.293222
-22.21589,17,52.347935
-10.655033,10,52.380594
-6.800246,24,52.458741
-21.146236,24,52.536377
-12.477133,13,52.578893
-7.717665,11,52.614699
-8.301664,24,52.692503
-11.992708,11,52.728263
-15.592129,13,52.770956
-15.401181,13,52.81274
-8.593134,9,52.841871
-7.648707,11,52.877762
-13.283561,12,52.916648
-9.345287,10,52.948902
-7.940678,14,52.994299
-20.833252,16,53.046419
-10.460636,10,53.078892
-12.360711,11,53.115305
-17.19988,14,53.161569
-11.766403,24,53.240904
-20.316891,24,53.318489
-10.919322,16,53.371151
-18.790741,15,53.419292
-9.083886,10,53.451154
-18.877019,15,53.50047
-6.259379,10,53.533391
-18.234684,15,53.583477
-15.643826,15,53.633452
-12.229977,11,53.669296
-18.993199,15,53.718673
-27.483452,24,53.797361
-15.599845,13,53.840011
-24.668087,20,53.905008
-7.496921,10,53.938002
-16.626764,24,54.015921
-19.157936,19,54.078049
-8.593471,24,54.157083
-15.34706,14,54.202805
-27.164398,21,54.270242
-8.951056,10,54.302696
-10.04779,14,54.348507
-7.615188,9,54.377569
-12.703544,13,54.419534
-7.851148,14,54.465297
-0.704215,5,54.48177
-16.955385,15,54.529915
-7.492038,8,54.556248
-7.484946,8,54.582757
-8.971801,9,54.612565
-9.216267,11,54.648206
-9.180714,10,54.68052
-12.343158,11,54.715897
-16.166859,24,54.793479
-6.586907,24,54.87273
-4.050207,9,54.902078
-3.397411,11,54.938243
-14.044497,12,54.977028
-18.809767,17,55.032111
-17.698675,19,55.094011
-22.228032,18,55.152673
-13.761812,17,55.207981
-10.545297,10,55.240219
-8.940914,13,55.282793
-19.345289,18,55.340863
-15.384076,13,55.382801
-19.070494,16,55.434334
-8.973429,15,55.482131
-19.764942,17,55.537526
-19.13815,15,55.586376
-11.035541,12,55.625901
-23.277761,20,55.690666
-11.134959,16,55.742175
-5.787173,8,55.768312
-17.177033,15,55.816499
-7.421943,8,55.842364
-6.187792,18,55.900972
-12.510392,13,55.94286
-9.673576,14,55.988741
-4.135094,9,56.017981
-12.143513,11,56.05336
-12.19242,14,56.099082
-6.655117,12,56.137889
-9.551918,15,56.186183
-7.89848,24,56.264539
-9.078119,9,56.293756
-13.472472,12,56.3323
-25.27516,20,56.397747
-0.574024,5,56.413971
-28.386841,21,56.482349
-17.953478,21,56.55013
-14.990071,13,56.595335
-10.94389,12,56.634673
-1.869458,11,56.670431
-15.28694,17,56.725848
-7.706817,11,56.761363
-23.481118,20,56.82586
-12.544365,13,56.867746
-8.897576,15,56.916094
-7.30236,8,56.94194
-14.18465,14,56.98746
-12.375455,11,57.023432
